Archivo;Año;Mes Num;Mes;Concepto;Grupo;Importe;Total Recibo;Pagado;Deuda
12.pdf;2021;12;DICIEMBRE;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,17;94,38;94,38;0,00
12.pdf;2021;12;DICIEMBRE;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,17;94,38;94,38;0,00
12.pdf;2021;12;DICIEMBRE;FONDO DE PROVISION AL 5%;FONDO DE PROVISIÓN AL 5%;2,17;94,38;94,38;0,00
12.pdf;2021;12;DICIEMBRE;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;9,11;94,38;94,38;0,00
12.pdf;2021;12;DICIEMBRE;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,50;94,38;94,38;0,00
12.pdf;2021;12;DICIEMBRE;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;94,38;94,38;0,00
12.pdf;2021;12;DICIEMBRE;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,59;94,38;94,38;0,00
12.pdf;2021;12;DICIEMBRE;OBRAS Y MEJORAS;PRESUPUESTO;1,26;94,38;94,38;0,00
12.pdf;2021;12;DICIEMBRE;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,57;94,38;94,38;0,00
12.pdf;2021;12;DICIEMBRE;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;94,38;94,38;0,00
2.pdf;2021;2;FEBRERO;CUOTACOMUNIDAD;;72,24;122,17;122,17;0,00
2.pdf;2021;2;FEBRERO;ACS-AGUA CALIENTE;;20,11;122,17;122,17;0,00
2.pdf;2021;2;FEBRERO;CALEFACCION;;29,82;122,17;122,17;0,00
3.pdf;2021;3;MARZO;ACS;L.ANT:491,59 L.ACT:497,50=5,91;26,60;123,06;123,06;0,00
3.pdf;2021;3;MARZO;ADMINISTRACION;ADMINISTRACION;2,66;123,06;123,06;0,00
3.pdf;2021;3;MARZO;CALEF.;L.ANT:21177,00;24,22;123,06;123,06;0,00
3.pdf;2021;3;MARZO;COMISIONES BANCARIAS;PRESUPUESTO;0,25;123,06;123,06;0,00
3.pdf;2021;3;MARZO;CONSUMO AGUA CALDERA;GAS NATURAL,ACS Y CALEFACCION;1,38;123,06;123,06;0,00
3.pdf;2021;3;MARZO;CONSUMO DE AGUA;PRESUPUESTO;0,47;123,06;123,06;0,00
3.pdf;2021;3;MARZO;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,17;123,06;123,06;0,00
3.pdf;2021;3;MARZO;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,17;123,06;123,06;0,00
3.pdf;2021;3;MARZO;FONDO DE PROVISION AL 5%;FONDO DE PROVISIÓN AL 5%;2,17;123,06;123,06;0,00
3.pdf;2021;3;MARZO;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;9,11;123,06;123,06;0,00
3.pdf;2021;3;MARZO;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,50;123,06;123,06;0,00
3.pdf;2021;3;MARZO;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;123,06;123,06;0,00
3.pdf;2021;3;MARZO;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,59;123,06;123,06;0,00
3.pdf;2021;3;MARZO;OBRAS Y MEJORAS;PRESUPUESTO;1,26;123,06;123,06;0,00
3.pdf;2021;3;MARZO;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,57;123,06;123,06;0,00
3.pdf;2021;3;MARZO;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;123,06;123,06;0,00
4.pdf;2021;4;ABRIL;CUOTACOMUNIDAD;;72,24;96,80;0,00;96,80
4.pdf;2021;4;ABRIL;ACS-AGUA CALIENTE;;20,43;96,80;0,00;96,80
4.pdf;2021;4;ABRIL;CALEFACCION;;4,13;96,80;0,00;96,80
5.pdf;2021;5;MAYO;ACS;L.ANT:502,04 L.ACT:506,71=4,67;21,02;93,26;93,26;0,00
5.pdf;2021;5;MAYO;ADMINISTRACION;ADMINISTRACION;2,66;93,26;93,26;0,00
5.pdf;2021;5;MAYO;COMISIONES BANCARIAS;PRESUPUESTO;0,25;93,26;93,26;0,00
5.pdf;2021;5;MAYO;CONSUMO AGUA CALDERA;GAS NATURAL,ACS Y CALEFACCION;1,38;93,26;93,26;0,00
5.pdf;2021;5;MAYO;CONSUMO DE AGUA;PRESUPUESTO;0,47;93,26;93,26;0,00
5.pdf;2021;5;MAYO;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,17;93,26;93,26;0,00
5.pdf;2021;5;MAYO;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,17;93,26;93,26;0,00
5.pdf;2021;5;MAYO;FONDO DE PROVISION AL 5%;FONDO DE PROVISIÓN AL 5%;2,17;93,26;93,26;0,00
5.pdf;2021;5;MAYO;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;9,11;93,26;93,26;0,00
5.pdf;2021;5;MAYO;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,50;93,26;93,26;0,00
5.pdf;2021;5;MAYO;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;93,26;93,26;0,00
5.pdf;2021;5;MAYO;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,59;93,26;93,26;0,00
5.pdf;2021;5;MAYO;OBRAS Y MEJORAS;PRESUPUESTO;1,26;93,26;93,26;0,00
5.pdf;2021;5;MAYO;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,57;93,26;93,26;0,00
5.pdf;2021;5;MAYO;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;93,26;93,26;0,00
6.pdf;2021;6;JUNIO;CUOTACOMUNIDAD;;72,24;91,64;0,00;91,64
6.pdf;2021;6;JUNIO;ACS-AGUA CALIENTE;;19,40;91,64;0,00;91,64
7.pdf;2021;7;JULIO;ACS;L.ANT:511,02 L.ACT:517,03=6,01;27,05;99,29;99,29;0,00
7.pdf;2021;7;JULIO;ADMINISTRACION;ADMINISTRACION;2,66;99,29;99,29;0,00
7.pdf;2021;7;JULIO;COMISIONES BANCARIAS;PRESUPUESTO;0,25;99,29;99,29;0,00
7.pdf;2021;7;JULIO;CONSUMO AGUA CALDERA;GAS NATURAL,ACS Y CALEFACCION;1,38;99,29;99,29;0,00
7.pdf;2021;7;JULIO;CONSUMO DE AGUA;PRESUPUESTO;0,47;99,29;99,29;0,00
7.pdf;2021;7;JULIO;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,17;99,29;99,29;0,00
7.pdf;2021;7;JULIO;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,17;99,29;99,29;0,00
7.pdf;2021;7;JULIO;FONDO DE PROVISION AL 5%;FONDO DE PROVISIÓN AL 5%;2,17;99,29;99,29;0,00
7.pdf;2021;7;JULIO;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;9,11;99,29;99,29;0,00
7.pdf;2021;7;JULIO;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,50;99,29;99,29;0,00
7.pdf;2021;7;JULIO;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;99,29;99,29;0,00
7.pdf;2021;7;JULIO;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,59;99,29;99,29;0,00
7.pdf;2021;7;JULIO;OBRAS Y MEJORAS;PRESUPUESTO;1,26;99,29;99,29;0,00
